participant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,1977.95,1946.6,1919.2,1895.85,1868.3,1836.35,1813.3,1804.85,1777.35,1840.65,1862.45,1865.85,1880.15,1884.8,1904.9,1926.4,1949.45,1975.1,1995.8,2024.5,1970.6,1927.3,1893.4,1866.1,1865.1,1861.4,1834.8,1825.4,1809.7,1819.7,1790.0,1760.65,1739.8,1722.85,1705.2,1686.75,1660.9,1625.1,1599.25,1686.65,1678.95,1659.15,1641.85,1618.85,1573.65,1545.35,1528.55,1524.65,1476.25,1459.95,1489.5,1511.05,1531.7,1555.45,1574.8,1596.0,1618.4,1637.9,1656.0,1709.8,1698.35,1657.55,1625.75,1570.75,1529.45,1501.95,1464.65,1437.05,1384.85,1484.85,1465.85,1409.75,1359.45,1322.45,1284.85,1237.75,1207.15,1164.35,1129.85,1229.85,1191.15,1151.45,1112.55,1069.25,1030.95,986.85,941.65,905.55,871.25,971.25,937.25,903.75,857.75,817.15,768.55,726.25,681.65,646.15,603.65,703.65
2,1994.6,1977.75,1973.4,1958.25,1932.4,1927.3,1925.05,1917.3,1932.45,1984.35,2005.65,2006.0,2007.35,2013.45,2039.85,2037.45,2044.75,2048.85,2062.4,2087.9,2083.5,2063.55,2059.45,2071.25,2067.95,2058.95,2044.65,2058.95,2056.7,2073.4,2072.75,2061.1,2055.55,2042.5,2044.9,2028.45,2007.75,2013.6,2020.5,2066.3,2081.0,2090.25,2106.25,2108.7,2100.6,2102.15,2115.2,2116.55,2116.3,2135.4,2129.4,2133.7,2119.4,2113.05,2112.2,2107.95,2087.4,2095.2,2097.3,2127.9,2126.35,2118.2,2082.65,2069.2,2056.45,2042.65,2022.8,2030.55,2006.55,2029.25,2012.2,1980.75,1954.2,1921.9,1885.25,1865.15,1823.05,1805.8,1766.45,1825.25,1828.15,1837.55,1838.4,1834.65,1830.05,1834.65,1823.8,1813.25,1816.25,1872.95,1870.7,1862.85,1868.75,1854.4,1834.75,1802.15,1755.15,1763.2,1731.85,1733.85
3,1996.5,1963.7,1964.45,1951.8,1944.85,1927.45,1918.1,1906.0,1886.0,1867.8,1843.25,1863.3,1857.0,1863.5,1860.2,1863.85,1884.1,1901.5,1907.3,1918.9,1919.6,1930.55,1948.35,1959.95,1967.75,1973.55,1977.0,1996.7,2002.05,2035.05,2038.35,2026.1,2014.95,2000.3,2006.9,2011.1,2010.8,2001.9,1991.7,1997.1,1991.2,1981.35,1974.2,1978.55,1977.15,1959.15,1956.15,1944.85,1938.5,1970.4,1967.5,1962.4,1952.0,1941.05,1923.5,1902.05,1881.65,1866.0,1843.4,1847.4,1838.3,1827.5,1800.55,1799.7,1791.05,1783.5,1778.4,1785.25,1734.55,1708.05,1701.55,1680.75,1662.25,1631.9,1638.85,1649.4,1643.5,1634.0,1615.15,1614.55,1603.55,1593.0,1592.05,1599.15,1599.6,1600.1,1595.7,1603.65,1609.2,1647.2,1661.5,1680.8,1706.2,1703.65,1715.1,1731.95,1720.55,1736.95,1753.9,1803.6
5,2028.6,2015.75,1970.15,1981.3,1982.4,1955.8,1952.05,1971.55,1951.95,1982.65,2002.6,2008.95,2024.9,2032.3,2037.0,2037.15,2048.2,2054.15,2069.25,2095.95,2089.15,2113.75,2111.15,2101.2,2086.0,2093.75,2097.8,2062.1,2063.75,2074.25,2051.85,2058.45,2047.35,2061.35,2060.65,2077.45,2083.1,2102.9,2101.0,2124.4,2148.65,2150.4,2138.95,2156.8,2164.3,2167.6,2159.45,2151.2,2142.2,2160.2,2146.85,2159.2,2150.9,2152.9,2141.25,2122.75,2121.1,2122.55,2117.3,2143.9,2147.85,2147.35,2138.2,2151.2,2149.35,2144.9,2145.35,2146.4,2129.35,2145.45,2140.2,2149.5,2143.5,2148.0,2125.55,2118.2,2108.8,2084.0,2098.7,2138.0,2164.4,2170.85,2193.55,2189.0,2205.95,2194.6,2222.95,2219.15,2238.7,2218.4,2230.2,2234.25,2258.5,2267.6,2290.0,2288.85,2290.55,2276.25,2275.95,2301.45
6,1993.9,1996.4,2002.55,1993.0,2006.15,2018.35,2024.05,2032.15,2027.95,2071.95,2073.75,2064.3,2064.15,2051.0,2033.05,2031.35,2035.7,2026.55,2020.25,2050.95,2073.95,2059.6,2052.7,2060.3,2051.65,2071.2,2073.45,2062.9,2066.7,2076.4,2070.2,2050.1,2028.15,2017.1,1994.4,1980.85,1959.0,1950.85,1947.85,2010.95,1997.85,1984.35,1954.35,1922.95,1899.15,1874.15,1834.25,1818.15,1788.35,1861.45,1851.0,1848.9,1840.05,1814.6,1794.0,1779.85,1773.25,1739.15,1717.3,1775.9,1768.85,1768.45,1742.75,1744.7,1751.7,1757.8,1752.7,1764.2,1767.1,1813.4,1831.4,1842.15,1853.3,1874.45,1887.7,1893.3,1914.0,1922.35,1941.45,1983.45,1993.75,1986.55,1978.55,1943.15,1939.3,1929.25,1915.05,1894.0,1881.95,1923.15,1904.3,1906.75,1904.15,1900.6,1911.65,1910.25,1910.6,1911.8,1912.95,1944.05
9,2007.5,1987.5,1952.5,1932.5,1875.0,1837.5,1797.5,1775.0,1762.5,1750.0,1747.15,1735.55,1707.1,1687.95,1672.45,1669.3,1662.8,1654.9,1617.0,1599.8,1566.4,1544.85,1515.05,1475.3,1452.5,1432.05,1429.85,1424.35,1412.3,1397.1,1402.8,1397.7,1371.35,1362.55,1334.75,1328.3,1316.1,1304.5,1284.95,1281.35,1263.85,1256.35,1236.35,1191.35,1181.35,1166.35,1128.85,1091.35,1048.85,1031.35,1029.55,1046.05,1058.55,1078.05,1079.05,1086.95,1103.75,1111.65,1142.15,1160.35,1183.35,1211.35,1234.35,1256.35,1280.85,1305.35,1333.85,1358.85,1382.35,1410.35,1427.85,1453.35,1479.85,1503.85,1530.35,1560.35,1589.85,1615.35,1638.85,1660.35,1680.35,1707.85,1732.35,1756.35,1787.85,1807.35,1836.35,1855.85,1885.35,1910.35,1938.35,1964.85,1990.35,2016.35,2039.85,2062.85,2081.35,2109.35,2135.35,2160.35
10,2028.1,2053.1,2038.1,2044.75,2060.15,2032.5,2038.15,2030.25,2022.0,2033.3,2018.65,2008.85,1998.05,1980.8,1966.65,1918.9,1909.1,1872.8,1841.0,1865.0,1863.7,1870.5,1855.45,1858.6,1856.85,1859.0,1860.0,1850.7,1841.25,1890.75,1887.65,1887.9,1891.8,1888.0,1869.5,1870.9,1879.45,1885.2,1907.2,1920.0,1870.0,1837.5,1840.0,1822.5,1782.5,1742.5,1740.0,1715.0,1687.5,1670.0,1656.25,1643.2,1641.25,1622.8,1606.7,1597.85,1595.2,1561.5,1539.55,1538.85,1550.15,1530.45,1505.85,1513.15,1523.15,1523.65,1538.15,1542.85,1569.95,1595.85,1614.35,1609.8,1621.95,1614.65,1616.4,1608.9,1612.9,1611.15,1609.75,1674.25,1699.0,1721.0,1746.35,1772.85,1796.7,1821.4,1849.0,1875.65,1905.7,1940.2,1921.7,1898.8,1874.4,1852.7,1833.2,1815.7,1789.1,1775.8,1748.2,1827.7
11,1991.45,1994.65,2003.1,1996.15,2006.7,2015.7,2024.5,2018.9,2022.8,2072.3,2100.95,2128.05,2156.8,2186.55,2211.7,2237.65,2264.05,2289.85,2320.85,2367.85,2361.9,2367.3,2367.7,2386.35,2381.8,2374.5,2349.45,2341.35,2339.05,2371.85,2352.6,2326.85,2297.85,2281.3,2241.35,2203.05,2171.45,2151.55,2107.25,2159.85,2142.95,2109.75,2105.05,2087.05,2075.55,2064.35,2027.25,2004.95,1979.45,1948.35,1955.3,1964.3,1947.8,1959.0,1950.1,1972.3,1981.0,1992.2,1986.55,2002.45,2028.25,2051.95,2076.4,2105.85,2134.75,2153.3,2178.15,2206.5,2234.95,2270.45,2236.05,2243.5,2238.1,2243.1,2237.75,2247.2,2243.7,2252.5,2244.3,2294.3,2271.0,2236.9,2209.1,2175.9,2157.15,2123.8,2099.2,2065.15,2028.15,2119.95,2123.1,2125.95,2108.8,2093.25,2073.9,2063.65,2054.25,2029.35,2025.45,2097.85
12,1999.3,2022.15,2027.95,2028.75,2050.4,2045.55,2047.25,2059.05,2066.1,2113.9,2117.3,2131.6,2137.3,2137.55,2135.3,2136.8,2142.15,2132.0,2124.9,2158.4,2150.75,2142.9,2137.55,2128.6,2114.45,2106.95,2099.55,2089.8,2102.75,2116.95,2127.2,2135.15,2137.5,2142.4,2145.75,2151.05,2176.65,2172.0,2182.6,2230.0,2240.85,2244.0,2247.05,2251.7,2258.0,2258.8,2257.8,2280.5,2268.25,2301.75,2289.05,2270.0,2261.65,2270.1,2267.6,2264.15,2266.2,2256.2,2239.0,2265.5,2268.65,2229.55,2231.35,2221.2,2212.3,2221.35,2225.2,2214.6,2213.8,2251.1,2252.7,2247.6,2239.8,2235.65,2238.15,2240.75,2209.05,2215.2,2220.75,2227.85,2218.65,2234.55,2240.3,2236.85,2235.2,2235.4,2245.8,2250.75,2232.9,2232.5,2207.1,2212.05,2210.4,2215.45,2215.25,2206.5,2213.75,2209.7,2219.75,2261.25
13,2027.65,2046.05,2044.75,2045.5,2039.45,2030.7,2023.25,2021.6,1988.45,2027.95,2058.05,2073.7,2091.7,2096.7,2105.7,2116.1,2128.7,2139.5,2159.7,2180.0,2183.4,2209.4,2230.3,2248.0,2266.65,2286.65,2304.1,2322.75,2344.25,2391.25,2393.3,2394.45,2410.55,2407.2,2414.35,2441.1,2455.7,2467.65,2480.95,2510.55,2537.65,2562.2,2590.05,2617.95,2640.15,2669.5,2696.3,2722.7,2750.7,2789.7,2805.0,2824.8,2838.2,2843.9,2860.6,2862.7,2868.5,2868.9,2882.2,2891.2,2915.2,2941.2,2968.7,2988.7,3014.7,3039.2,3062.7,3090.7,3109.7,3141.2,3168.4,3199.9,3211.2,3233.35,3247.65,3270.0,3297.15,3321.8,3331.7,3357.4,3357.7,3361.2,3371.1,3388.8,3397.65,3403.15,3408.9,3412.95,3416.95,3449.05,3475.75,3499.45,3526.4,3550.45,3575.9,3603.35,3633.65,3660.0,3685.55,3727.05
14,2027.0,2022.2,2011.75,2008.4,1997.85,2004.55,2019.4,2021.9,2027.15,2062.35,2042.75,2002.15,1967.0,1956.25,1948.2,1932.2,1935.05,1935.75,1905.05,1946.85,1921.85,1886.85,1859.35,1826.85,1796.85,1781.85,1779.35,1759.35,1736.85,1696.85,1693.25,1667.85,1660.35,1657.35,1618.55,1593.3,1571.85,1569.95,1563.4,1571.5,1543.8,1548.0,1545.3,1559.05,1529.6,1524.25,1534.9,1524.1,1523.05,1524.95,1512.65,1524.95,1535.05,1533.5,1517.6,1527.65,1527.2,1525.45,1539.6,1584.3,1568.1,1548.05,1533.3,1514.75,1494.2,1484.6,1482.8,1473.9,1470.55,1519.35,1488.75,1471.85,1436.15,1397.65,1381.15,1363.85,1351.95,1329.05,1329.35,1314.65,1311.75,1286.75,1279.4,1269.1,1269.3,1259.45,1240.3,1221.7,1222.15,1266.25,1266.0,1238.9,1218.6,1213.6,1203.15,1181.45,1163.65,1136.55,1137.7,1149.5
15,2003.1,1976.5,1962.0,1950.8,1930.45,1939.8,1919.7,1904.85,1893.8,1924.2,1935.95,1932.05,1928.35,1941.15,1950.1,1957.7,1940.3,1949.4,1964.2,1984.0,1976.65,1988.4,1980.55,1989.0,1996.9,2006.65,2003.55,2018.15,2032.65,2080.45,2059.85,2050.85,2065.0,2053.8,2054.45,2063.45,2061.05,2062.85,2059.55,2077.75,2087.25,2087.65,2071.9,2062.55,2050.7,2052.1,2064.5,2071.05,2052.9,2089.1,2087.75,2095.4,2113.15,2123.35,2139.8,2120.75,2124.35,2122.1,2127.65,2145.45,2156.1,2171.0,2156.2,2162.55,2161.0,2165.15,2162.9,2149.15,2147.9,2164.4,2150.25,2151.25,2160.5,2151.2,2161.1,2147.15,2132.3,2121.1,2118.4,2167.3,2158.55,2161.8,2133.25,2110.05,2106.65,2109.9,2122.85,2129.85,2121.35,2162.45,2160.55,2153.9,2156.5,2150.4,2143.4,2137.25,2118.55,2110.75,2086.85,2099.05
16,2011.1,2016.9,1998.3,1973.0,1966.55,1945.35,1943.7,1947.0,1942.1,1979.4,1977.6,1976.45,1987.05,1994.05,2003.05,2024.55,2030.35,2041.2,2056.5,2102.3,2111.0,2125.5,2108.35,2100.6,2107.1,2110.5,2117.35,2122.55,2136.5,2163.4,2169.4,2162.2,2173.9,2179.1,2197.7,2202.6,2203.4,2196.6,2199.0,2222.5,2219.8,2214.55,2215.2,2205.4,2211.5,2225.6,2233.2,2239.35,2242.15,2249.85,2256.7,2262.25,2271.55,2283.7,2299.4,2313.8,2321.2,2342.45,2353.3,2384.9,2365.75,2341.8,2332.7,2321.9,2305.6,2314.35,2275.85,2235.5,2218.5,2239.7,2222.15,2207.65,2172.95,2160.0,2165.6,2170.45,2164.15,2163.85,2120.5,2116.3,2089.2,2087.8,2085.4,2054.3,2047.9,2052.2,2036.1,2014.2,2008.1,2023.1,2019.6,2010.4,2007.4,2012.1,1992.8,1982.4,1966.4,1945.4,1951.9,1962.3
17,1985.0,1974.4,1958.5,1943.45,1906.3,1896.6,1876.9,1866.75,1849.95,1849.55,1844.9,1828.2,1828.5,1814.6,1824.95,1799.2,1787.4,1766.5,1765.95,1816.85,1798.95,1775.75,1757.15,1739.05,1709.95,1678.65,1664.85,1640.25,1609.75,1597.45,1590.45,1583.15,1570.45,1552.45,1540.45,1505.15,1507.45,1487.65,1466.25,1518.15,1530.35,1532.55,1506.85,1494.65,1499.45,1498.15,1513.05,1508.75,1503.85,1511.55,1513.6,1502.4,1493.05,1476.9,1476.3,1456.25,1467.35,1454.15,1457.5,1503.6,1477.2,1457.4,1434.1,1437.2,1420.4,1419.0,1420.2,1393.7,1378.8,1365.5,1362.85,1355.65,1362.5,1382.7,1385.55,1386.55,1377.0,1389.0,1399.65,1429.95,1447.45,1444.75,1422.85,1410.05,1408.55,1398.35,1394.75,1392.35,1388.85,1400.15,1364.15,1372.15,1343.25,1343.9,1363.15,1361.25,1364.0,1361.35,1341.35,1356.85
18,1988.3,1976.35,1983.8,1969.65,1981.55,1992.0,1992.9,1991.7,1983.35,2035.25,2010.2,1978.4,1969.8,1962.15,1972.35,1965.55,1962.95,1945.85,1937.9,1989.9,1985.3,1959.35,1931.15,1911.35,1889.95,1873.45,1871.65,1858.6,1856.15,1913.75,1891.15,1853.15,1838.6,1818.25,1808.8,1780.45,1765.45,1754.15,1739.55,1799.15,1785.2,1764.3,1754.25,1749.8,1747.25,1737.15,1728.6,1720.35,1730.65,1777.95,1774.35,1753.8,1732.3,1716.05,1692.3,1682.45,1660.45,1658.95,1651.35,1687.55,1700.25,1702.5,1710.65,1701.85,1696.55,1699.6,1710.95,1693.4,1689.35,1713.65,1692.75,1689.95,1685.55,1671.0,1678.65,1685.3,1677.2,1656.25,1644.35,1651.65,1630.8,1641.9,1631.35,1587.05,1561.35,1533.1,1536.15,1523.7,1459.95,1476.05,1487.0,1496.7,1495.9,1495.45,1502.05,1513.4,1530.3,1556.7,1586.4,1607.4
19,2028.6,1958.1,1986.25,1969.7,1987.3,1982.15,1980.8,1971.85,1983.55,2007.25,1989.5,1970.65,1969.75,1970.2,1974.25,1972.55,1977.55,1964.65,1943.75,1975.85,1966.0,1967.0,1965.45,1969.45,1979.3,1990.8,1992.55,1985.9,1979.55,2006.05,1983.45,1975.4,1955.2,1957.2,1950.25,1943.55,1934.5,1929.65,1918.2,1969.7,1993.7,1956.2,1961.65,1949.95,1944.35,1945.3,1926.4,1919.9,1907.95,1942.15,1952.1,1953.35,1939.6,1932.55,1925.95,1933.1,1925.0,1920.45,1907.05,1945.75,1933.45,1915.6,1885.05,1876.45,1852.2,1837.35,1831.7,1808.5,1795.1,1830.9,1807.8,1808.1,1810.5,1815.0,1801.9,1806.55,1819.85,1808.6,1788.7,1824.9,1836.3,1828.3,1828.7,1845.2,1863.0,1868.35,1879.15,1885.15,1898.8,1943.2,1970.25,1997.65,2026.8,2055.45,2083.65,2108.65,2139.15,2167.3,2195.5,2245.5
20,1975.0,1995.8,1992.05,1983.8,1986.7,1998.7,2005.0,2025.1,2017.65,2038.65,2033.05,2030.45,2030.05,2030.4,2012.85,2005.15,1976.8,1957.15,1910.9,1922.8,1918.15,1900.55,1897.65,1886.2,1903.8,1893.65,1889.8,1870.55,1886.3,1886.4,1853.5,1849.5,1845.1,1784.7,1788.5,1764.0,1750.9,1708.6,1700.8,1719.5,1745.55,1748.4,1759.65,1761.75,1775.8,1792.1,1814.3,1833.1,1853.75,1868.65,1876.15,1878.45,1887.25,1908.65,1911.9,1926.1,1926.7,1929.6,1942.7,1960.9,1985.5,1976.6,1976.2,1989.8,2002.1,2008.2,2012.25,1992.25,2002.9,2011.7,2015.65,2035.25,2044.2,2051.8,2076.45,2080.8,2084.25,2100.15,2099.8,2124.1,2138.1,2146.3,2151.6,2156.25,2148.15,2153.85,2166.9,2167.65,2178.2,2189.7,2173.3,2180.75,2173.9,2190.6,2182.5,2179.2,2165.75,2169.6,2176.25,2201.55
21,1992.5,1986.45,1934.6,1924.8,1907.85,1903.0,1904.95,1870.95,1860.95,1875.45,1858.85,1859.95,1839.35,1829.1,1809.65,1792.65,1788.8,1737.7,1724.25,1718.05,1734.6,1751.35,1764.35,1768.95,1782.4,1804.2,1831.25,1842.35,1857.15,1894.85,1847.75,1806.45,1774.55,1739.55,1694.05,1661.35,1625.55,1577.25,1547.05,1647.05,1641.55,1652.25,1674.15,1694.85,1719.75,1740.05,1766.25,1791.35,1819.35,1836.35,1860.15,1870.0,1866.45,1866.15,1861.25,1840.7,1828.35,1820.1,1810.7,1886.6,1915.6,1945.6,1970.6,1996.1,2019.1,2041.6,2068.6,2095.1,2118.6,2136.6,2111.6,2099.1,2071.6,2041.6,1996.6,1974.1,1954.1,1916.6,1879.1,1886.6,1892.1,1887.2,1878.7,1886.45,1880.35,1900.4,1918.7,1937.75,1947.35,1961.65,1982.8,1995.15,2004.75,2024.65,2042.25,2055.85,2068.15,2085.85,2109.1,2148.3
22,2027.0,2052.85,2080.75,2100.6,2122.15,2144.55,2170.0,2197.95,2231.1,2258.6,2271.1,2265.1,2254.8,2236.3,2231.7,2216.4,2186.3,2160.5,2132.6,2221.0,2249.95,2247.45,2209.95,2197.45,2179.95,2142.45,2097.45,2089.95,2057.45,2044.95,2032.95,2030.4,2017.75,1974.05,1974.5,1959.85,1944.05,1920.05,1900.45,1951.05,1978.05,1993.25,2010.75,2024.15,2051.65,2066.75,2093.75,2108.5,2137.0,2196.8,2181.0,2159.35,2138.45,2134.6,2103.6,2105.5,2102.3,2067.6,2039.6,2028.7,2053.15,2047.55,2042.6,2052.4,2075.7,2089.0,2101.25,2118.6,2143.85,2164.35,2172.65,2186.45,2181.25,2177.65,2164.75,2159.75,2148.95,2128.25,2101.45,2139.05,2158.8,2118.5,2095.05,2104.15,2090.8,2078.95,2089.35,2100.5,2107.0,2099.0,2086.5,2074.0,2064.0,2056.5,2006.5,2019.0,1974.0,1956.5,1924.0,1849.0
24,1996.9,2001.55,2002.1,1993.4,1983.25,1978.7,1970.7,1964.2,1949.6,1987.2,1985.05,1961.7,1946.7,1945.5,1954.55,1945.35,1936.7,1933.45,1919.4,1944.4,1931.05,1922.5,1908.2,1895.8,1859.25,1818.35,1802.0,1784.65,1751.05,1782.05,1757.85,1773.2,1775.55,1778.5,1766.2,1759.25,1765.6,1747.5,1737.9,1756.0,1750.55,1757.95,1766.9,1763.75,1765.55,1742.55,1740.0,1735.85,1724.35,1761.45,1761.45,1773.65,1762.4,1754.8,1767.2,1761.8,1760.55,1754.2,1749.15,1796.85,1798.25,1787.95,1796.75,1769.2,1770.9,1773.7,1767.7,1753.65,1753.0,1751.6,1750.75,1758.65,1754.15,1779.15,1769.45,1775.45,1784.8,1780.0,1762.35,1774.05,1790.5,1806.15,1808.45,1825.3,1837.65,1862.25,1882.0,1884.1,1894.25,1927.15,1896.55,1882.6,1878.85,1877.0,1878.2,1866.55,1854.35,1856.5,1859.25,1893.15
25,1982.5,1969.65,1957.05,1952.75,1936.15,1938.8,1930.35,1932.95,1917.5,1899.3,1841.8,1834.3,1809.3,1794.3,1751.8,1736.8,1724.3,1684.3,1674.3,1649.3,1651.8,1599.3,1591.8,1571.8,1546.8,1499.3,1479.3,1436.8,1389.3,1399.3,1354.6,1345.25,1351.0,1354.15,1356.9,1357.6,1349.6,1360.2,1354.3,1373.2,1379.4,1342.5,1335.1,1334.9,1314.4,1322.7,1307.7,1270.7,1265.2,1229.2,1194.8,1179.8,1173.6,1171.75,1177.35,1188.3,1219.3,1227.0,1240.9,1270.5,1235.55,1237.3,1244.95,1233.6,1252.35,1241.95,1232.2,1238.65,1219.25,1243.35,1268.85,1298.9,1328.2,1357.4,1385.2,1414.8,1443.15,1468.9,1498.5,1548.5,1533.5,1503.5,1481.0,1461.0,1436.0,1391.0,1386.0,1348.5,1316.0,1298.5,1261.0,1231.0,1216.0,1176.0,1183.5,1161.0,1143.5,1126.0,1078.5,1048.5
